Address,Aggregate rating,Average Cost for two,City,Country Code,Country,Cuisines,Currency,Has Online delivery,Has Table booking,Is delivering now,Latitude,Locality Verbose,Locality,Longitude,Price range,Rating color,Rating text,Restaurant ID,Restaurant Name,Votes
"34-37, Bengali Market, Barakhamba Road, New Delhi",3.2,550,New Delhi,1,India,"North Indian, South Indian, Chinese",Indian Rupees(Rs.),No,No,No,28.6295216,"Barakhamba Road, New Delhi",Barakhamba Road,77.2319679,2,Orange,Average,6286,Bengali Pastry Shop & Snack Bar,70
"27-29, Bengali Market, Barakhamba Road, New Delhi",3.4,400,New Delhi,1,India,"North Indian, South Indian, Chinese, Street Food, Mithai",Indian Rupees(Rs.),Yes,No,No,28.6297833,"Barakhamba Road, New Delhi",Barakhamba Road,77.231938,1,Orange,Average,1914,Bhimsain's Bengali Sweet House,560
"Shop D, Ground Floor, DCM Building, Barakhamba Road, New Delhi",2.9,450,New Delhi,1,India,Cafe,Indian Rupees(Rs.),No,No,No,28.62981784,"Barakhamba Road, New Delhi",Barakhamba Road,77.22546157,1,Orange,Average,18163907,Cafe Coffee Day,4
"Shop 44-45, Bengali Market, Barakhamba Road, New Delhi",3.4,600,New Delhi,1,India,"North Indian, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.6291908,"Barakhamba Road, New Delhi",Barakhamba Road,77.2322198,2,Orange,Average,18344490,Colonel's Kababz,38
"Shop 30, Gandhi Market, Minto Road, Barakhamba Road, New Delhi",2.8,600,New Delhi,1,India,"North Indian, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.637044,"Barakhamba Road, New Delhi",Barakhamba Road,77.22947,2,Orange,Average,18412878,Faasos,11
"Shop 21, Bengali Market, Barakhamba Road, New Delhi",3,200,New Delhi,1,India,"Bakery, Mithai",Indian Rupees(Rs.),No,No,No,28.6296552,"Barakhamba Road, New Delhi",Barakhamba Road,77.2321395,1,Orange,Average,18294263,Karachi Bakery,4
"23-25, Bengali Market, Barakhamba Road, New Delhi",3.3,600,New Delhi,1,India,"North Indian, South Indian, Street Food, Mithai",Indian Rupees(Rs.),Yes,No,No,28.6297135,"Barakhamba Road, New Delhi",Barakhamba Road,77.2321162,2,Orange,Average,588,Nathu's Sweets,421
"1, Gandhi Market, Mirdard Road, Minto Road, Barakhamba Road, New Delhi",3.1,550,New Delhi,1,India,"North Indian, Chinese",Indian Rupees(Rs.),Yes,No,No,28.636706,"Barakhamba Road, New Delhi",Barakhamba Road,77.23034,2,Orange,Average,7150,Sachdeva Confectioners,68
"30-33, Bengali Market, Barakhamba Road, New Delhi",3.6,400,New Delhi,1,India,"North Indian, Street Food, Chinese, South Indian, Mithai",Indian Rupees(Rs.),No,No,No,28.6296407,"Barakhamba Road, New Delhi",Barakhamba Road,77.2319464,1,Yellow,Good,18264634,Bengali Sweet House,85
"3, Hailey Road, Banga Bhawan, Barakhamba Road, New Delhi",3.7,800,New Delhi,1,India,"Bengali, North Indian, Chinese",Indian Rupees(Rs.),No,Yes,No,28.62586289,"Barakhamba Road, New Delhi",Barakhamba Road,77.22564027,2,Yellow,Good,301534,Bijoli Grill,343
"12 & 13, Bengali Market, Barakhamba Road, New Delhi",3.8,300,New Delhi,1,India,"Bakery, Desserts, Fast Food",Indian Rupees(Rs.),No,No,No,28.6291468,"Barakhamba Road, New Delhi",Barakhamba Road,77.2320661,1,Yellow,Good,8340,Nathu's Pastry Shop,120
"Shop 23, NDMC Market, Babar Road, Near Bengal Market, Barakhamba Road, New Delhi",0,200,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.6302526,"Barakhamba Road, New Delhi",Barakhamba Road,77.2297102,1,White,Not rated,18400739,Balaji Dhaba,3
Barakhamba Metro Station,0,100,New Delhi,1,India,Fast Food,Indian Rupees(Rs.),No,No,No,28.62948089,"Barakhamba Road, New Delhi",Barakhamba Road,77.22556986,1,White,Not rated,304954,Bhagat Ji,2
"Shop 39/40, NDMC Market, Babar Road, Barakhamba Road, New Delhi",0,200,New Delhi,1,India,Fast Food,Indian Rupees(Rs.),No,No,No,28.6305852,"Barakhamba Road, New Delhi",Barakhamba Road,77.229817,1,White,Not rated,18400737,Hangout Kathi Rolls,2
"Shop 40, Shankar Market, Barakhamba Road, New Delhi",0,350,New Delhi,1,India,"Bakery, Desserts",Indian Rupees(Rs.),No,No,No,28.6337562,"Barakhamba Road, New Delhi",Barakhamba Road,77.2243937,1,White,Not rated,18382583,Makers & Bakers,0
"47-48, Bengali Market, Barakhamba Road, New Delhi",2.3,750,New Delhi,1,India,"Lebanese, Arabian, Moroccan",Indian Rupees(Rs.),Yes,No,No,28.6291992,"Barakhamba Road, New Delhi",Barakhamba Road,77.232182,2,Red,Poor,18249122,Habibi Express,55
"14-A, Basant Lok Market, Vasant Vihar, New Delhi",3.2,450,New Delhi,1,India,Cafe,Indian Rupees(Rs.),No,No,No,28.55860308,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16410805,1,Orange,Average,7354,Cafe Coffee Day,49
"Basant Lok Market, Opposite Modern Bazar, Vasant Vihar, New Delhi",2.9,400,New Delhi,1,India,"Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,28.55882222,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16399444,1,Orange,Average,9267,China Town,7
"6, Basant Lok Market, Priya Cinema Complex, Vasant Vihar, New Delhi",3.3,700,New Delhi,1,India,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.55759742,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16454592,2,Orange,Average,7352,Domino's Pizza,90
"32, Basant Lok Market, Vasant Vihar, New Delhi",2.9,1200,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,Yes,No,28.55803178,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16416739,3,Orange,Average,304211,High Street Kitchen & Bar,11
"41, Basant Lok Market, Vasant Vihar, New Delhi",3.1,1000,New Delhi,1,India,"Italian, Pizza, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.55750937,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16408022,3,Orange,Average,262,Pizza Hut,161
"58, Basant Lok Market, Vasant Vihar, New Delhi",3,800,New Delhi,1,India,"Bakery, Fast Food",Indian Rupees(Rs.),No,No,No,28.55735771,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16383245,2,Orange,Average,4621,Sugar & Spice - Le Marche,67
"3, PVR Priya, Basant Lok Market, Vasant Vihar, New Delhi",2.8,300,New Delhi,1,India,"Fast Food, North Indian",Indian Rupees(Rs.),Yes,No,No,28.55749052,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16335401,1,Orange,Average,2134,The Kathis,23
"24, Basant Lok Market, Vasant Vihar, New Delhi",3.3,1700,New Delhi,1,India,"Japanese, Chinese, Malaysian, Thai, Vietnamese",Indian Rupees(Rs.),Yes,No,No,28.55915278,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16345278,3,Orange,Average,303472,The Kylin Experience,60
"59, Basant Lok Market, Vasant Vihar, New Delhi",3.5,450,New Delhi,1,India,Lebanese,Indian Rupees(Rs.),Yes,No,No,28.55731442,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16421165,1,Yellow,Good,758,Arabian Nites,239
"15-A, Basant Lok Market, Vasant Vihar, New Delhi",3.7,1300,New Delhi,1,India,"Chinese, Thai, North Indian",Indian Rupees(Rs.),Yes,Yes,No,28.55894144,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16395449,3,Yellow,Good,7217,Asia Kitchen,137
"Priya Complex, Basant Lok Market, Vasant Vihar, New Delhi",3.7,600,New Delhi,1,India,"Burger, Desserts, Fast Food",Indian Rupees(Rs.),Yes,No,No,28.55739275,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16427334,2,Yellow,Good,307054,Dunkin' Donuts,212
"59, Community Centre, Basant Lok Market, Vasant Vihar, New Delhi",3.5,1000,New Delhi,1,India,"North Indian, Chinese",Indian Rupees(Rs.),Yes,Yes,No,28.55720016,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16388777,3,Yellow,Good,771,Krips Restaurant,193
"Community Centre, Basant Lok Market, Vasant Vihar, New Delhi",3.5,500,New Delhi,1,India,"Fast Food, Burger",Indian Rupees(Rs.),Yes,No,No,28.5574864,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16365643,2,Yellow,Good,171,McDonald's,202
"46, 1st Floor, Priya Cinema Complex, Basant Lok Market, Vasant Vihar, New Delhi",3.5,1300,New Delhi,1,India,Chinese,Indian Rupees(Rs.),Yes,Yes,No,28.55722872,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16364905,3,Yellow,Good,304675,Yo! China,332
"40, Basant Lok Market, Vasant Vihar, New Delhi",2.4,1800,New Delhi,1,India,Finger Food,Indian Rupees(Rs.),No,Yes,No,28.55756561,"Basant Lok Market, Vasant Vihar, New Delhi","Basant Lok Market, Vasant Vihar",77.16416772,3,Red,Poor,3269,RPM,92
"13 & 14, Ground Floor and Mezzanine Floor, Community Center, Ashok Vihar Phase 2, New Delhi",2.9,1000,New Delhi,1,India,"Italian, Continental",Indian Rupees(Rs.),Yes,Yes,No,28.6963277,"Bellagio, Ashok Vihar Phase 2, New Delhi","Bellagio, Ashok Vihar Phase 2",77.1799244,3,Orange,Average,3935,By The Way - Bellagio,120
"13-14, 2nd Floor, Community Center, Ashok Vihar Phase 2, New Delhi",3.4,1500,New Delhi,1,India,Chinese,Indian Rupees(Rs.),Yes,Yes,No,28.6962508,"Bellagio, Ashok Vihar Phase 2, New Delhi","Bellagio, Ashok Vihar Phase 2",77.1800463,3,Orange,Average,4166,Red - Bellagio,137
"13 & 14, 1st Floor, Community Center, Ashok Vihar Phase 2, New Delhi",3.6,1100,New Delhi,1,India,"North Indian, Mughlai",Indian Rupees(Rs.),Yes,Yes,No,28.6963277,"Bellagio, Ashok Vihar Phase 2, New Delhi","Bellagio, Ashok Vihar Phase 2",77.1799244,3,Yellow,Good,3936,Soul Curry - Bellagio,158
"Best Western Taurus, IGI Airport Road, NH 8, Mahipalpur, New Delhi",2.7,1500,New Delhi,1,India,"North Indian, Chinese, Continental",Indian Rupees(Rs.),No,Yes,No,28.5488265,"Best Western Taurus Hotel, Mahipalpur, New Delhi","Best Western Taurus Hotel, Mahipalpur",77.1271685,3,Orange,Average,5227,Alpha 63,9
"6, UG-58 & 59, Ansal Chamber 2, Bhikaji Cama Place, New Delhi",2.6,300,New Delhi,1,India,"North Indian, Street Food",Indian Rupees(Rs.),Yes,No,No,28.5677783,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.1884602,1,Orange,Average,1862,Bite-N-Sip,38
"SF-9, Bhikaji Cama Place, New Delhi",3.2,2000,New Delhi,1,India,"Chinese, Japanese, Thai",Indian Rupees(Rs.),No,Yes,No,28.5692067,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.1870054,4,Orange,Average,819,Lotus Garden,59
"6, UG62, Ansal Chamber 2, Bhikaji Cama Place, New Delhi",2.8,200,New Delhi,1,India,"Mithai, North Indian",Indian Rupees(Rs.),No,No,No,28.5682092,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.1882805,1,Orange,Average,2236,Meethas Sweets,4
"Saran Motors, HP Petrol Pump, Near Muhammadpur, Bhikaji Cama Place, New Delhi",2.5,1100,New Delhi,1,India,"Fast Food, North Indian, Desserts, Ice Cream",Indian Rupees(Rs.),Yes,No,No,28.56747782,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.18884371,3,Orange,Average,4150,Nirula's,98
"6, UG-64, Ansal Chamber 2, Bhikaji Cama Place, New Delhi",2.8,250,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.5680386,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.1883704,1,Orange,Average,6394,Punjabi Tadka,11
"9, UG-65 & 66, Somdutt Chamber 2, Bhikaji Cama Place, New Delhi",3,250,New Delhi,1,India,"North Indian, Mughlai",Indian Rupees(Rs.),No,No,No,28.5682072,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.1872056,1,Orange,Average,1867,Snack Bar,11
"6, UG-9, Ansal Chamber II, Bhikaji Cama Place, New Delhi",3.1,150,New Delhi,1,India,South Indian,Indian Rupees(Rs.),No,No,No,28.567558,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.1884696,1,Orange,Average,2608,South Indian Food,14
"30, 31, & 32, Upper Ground Floor, Ansal Chambers-1, Bhikaji Cama Place, New Delhi",2.4,700,New Delhi,1,India,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.56902165,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.18894932,2,Red,Poor,8388,Domino's Pizza,71
"UG-60, Ansal Chamber 2, Bhikaji Cama Place, New Delhi",2.4,400,New Delhi,1,India,South Indian,Indian Rupees(Rs.),Yes,No,No,28.56823664,"Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,77.18844105,1,Red,Poor,3465,Southy,33
"Centaur Hotel, Near Aerocity, New Delhi",0,1500,New Delhi,1,India,Cafe,Indian Rupees(Rs.),No,No,No,28.543091,"Centaur Hotel, Aerocity, New Delhi","Centaur Hotel, Aerocity",77.115196,3,White,Not rated,301581,Coffee Shop - Centaur Hotel,2
"7, Yashwant Place Market, Food Plaza, Chanakyapuri, New Delhi",3.3,850,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),Yes,No,No,28.5841464,"Chanakyapuri, New Delhi",Chanakyapuri,77.1918744,2,Orange,Average,823,Al Kuresh,85
"Yashwant Palace Market, Chanakyapuri, New Delhi",2.9,600,New Delhi,1,India,"Bakery, Italian, Fast Food, Chinese, Continental",Indian Rupees(Rs.),No,No,No,28.5850979,"Chanakyapuri, New Delhi",Chanakyapuri,77.191515,2,Orange,Average,18421499,Angan Bakery & Cafe,10
"21, Yashwant Place, Food Plaza, Chanakyapuri, New Delhi",2.7,700,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),No,No,No,28.5842999,"Chanakyapuri, New Delhi",Chanakyapuri,77.1916048,2,Orange,Average,846,Bamboo Chopstix,8
"25, Yashwant Place Market, Food Plaza, Chanakyapuri, New Delhi",2.9,700,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),No,No,No,28.5842508,"Chanakyapuri, New Delhi",Chanakyapuri,77.1915599,2,Orange,Average,816,Bawarchis,16
"Satya Marg, Yashwant Place Market, Chanakyapuri, New Delhi",3.4,450,New Delhi,1,India,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",Indian Rupees(Rs.),No,No,No,28.5851618,"Chanakyapuri, New Delhi",Chanakyapuri,77.1912454,1,Orange,Average,4055,Bikanervala,113
"1st Floor, BPCL Petrol Pump, Opposite Chanakyapuri Cinema, Chanakyapuri, New Delhi",3,450,New Delhi,1,India,Cafe,Indian Rupees(Rs.),No,No,No,28.5834333,"Chanakyapuri, New Delhi",Chanakyapuri,77.1909759,1,Orange,Average,18312487,Cafe Coffee Day,4
"27, Yashwant Place Market, Chanakyapuri, New Delhi",3.2,800,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),No,Yes,No,28.5843608,"Chanakyapuri, New Delhi",Chanakyapuri,77.1914283,2,Orange,Average,1630,Chanakya Bar-Be-Que,17
"7, Chanakyapuri, New Delhi",2.7,450,New Delhi,1,India,"North Indian, South Indian",Indian Rupees(Rs.),No,No,No,28.6043227,"Chanakyapuri, New Delhi",Chanakyapuri,77.1863937,1,Orange,Average,308261,Chattisgarh Bhawan,33
"26, Yashwant Place Market, Food Plaza, Chanakyapuri, New Delhi",2.9,800,New Delhi,1,India,Chinese,Indian Rupees(Rs.),No,Yes,No,28.5843895,"Chanakyapuri, New Delhi",Chanakyapuri,77.1916048,2,Orange,Average,2587,Chimney,66
"V-15, Yashwant Place Market, Food Plaza, Chanakyapuri, New Delhi",3.4,800,New Delhi,1,India,Chinese,Indian Rupees(Rs.),No,No,No,28.5842508,"Chanakyapuri, New Delhi",Chanakyapuri,77.1915599,2,Orange,Average,849,China Town Sizzlers,34
"12 & 13, Food Plaza, Yashwant Place, Chanakyapuri, New Delhi",2.8,700,New Delhi,1,India,"Chinese, North Indian, Seafood",Indian Rupees(Rs.),No,No,No,28.5842927,"Chanakyapuri, New Delhi",Chanakyapuri,77.1917436,2,Orange,Average,848,Chinese Bite,31
"S14, Yashwant Place, Food Plaza, Chanakyapuri, New Delhi",3.2,900,New Delhi,1,India,Chinese,Indian Rupees(Rs.),No,Yes,No,28.5843202,"Chanakyapuri, New Delhi",Chanakyapuri,77.191558,2,Orange,Average,852,Chinese Garden,17
"Shantipath, Chanakyapuri, New Delhi",3,600,New Delhi,1,India,Cafe,Indian Rupees(Rs.),No,No,No,28.5952992,"Chanakyapuri, New Delhi",Chanakyapuri,77.1683666,2,Orange,Average,312194,Costa Coffee,4
"50, Malcha Market, Chanakyapuri, New Delhi",2.8,200,New Delhi,1,India,Fast Food,Indian Rupees(Rs.),No,No,No,28.6024263,"Chanakyapuri, New Delhi",Chanakyapuri,77.1867082,1,Orange,Average,7643,Food Point,5
"6/48, Malcha Marg Shopping Centre, Chanakyapuri, New Delhi",2.9,1650,New Delhi,1,India,"North Indian, Mughlai",Indian Rupees(Rs.),No,Yes,No,28.6021467,"Chanakyapuri, New Delhi",Chanakyapuri,77.1860137,3,Orange,Average,3238,Ikko,10
"9, Kautilya Marg, Chanakyapuri, New Delhi",2.9,500,New Delhi,1,India,"Kashmiri, North Indian",Indian Rupees(Rs.),No,No,No,28.5998612,"Chanakyapuri, New Delhi",Chanakyapuri,77.1969056,2,Orange,Average,18396184,Jammu And Kashmir House,4
"18, Yashwant Place, Food Plaza, Chanakyapuri, New Delhi",3.4,900,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),No,No,No,28.5843085,"Chanakyapuri, New Delhi",Chanakyapuri,77.1916947,2,Orange,Average,847,Laguna,60
"2, Yashwant Place Market, Chanakyapuri, New Delhi",3.2,700,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),No,No,No,28.5841379,"Chanakyapuri, New Delhi",Chanakyapuri,77.1917845,2,Orange,Average,7575,Momo Point,14
"12 & 13, Food Plaza, Yashwant Place, Chanakyapuri, New Delhi",3.1,700,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),No,No,No,28.5841379,"Chanakyapuri, New Delhi",Chanakyapuri,77.1917845,2,Orange,Average,850,New Zaika,10
"Delhi Organic Farmers Market, Palika Services Officers Institute, Vinay Marg, Chanakyapuri, New Delhi",3,700,New Delhi,1,India,"Cafe, Healthy Food, North Indian",Indian Rupees(Rs.),No,No,No,28.5867665,"Chanakyapuri, New Delhi",Chanakyapuri,77.1933486,2,Orange,Average,311856,Organic Express,7
"Opposite Chanakya Theatre, Chanakyapuri, New Delhi",3.4,600,New Delhi,1,India,"South Indian, Chettinad, North Indian, Chinese",Indian Rupees(Rs.),No,No,No,28.5830663,"Chanakyapuri, New Delhi",Chanakyapuri,77.1908861,2,Orange,Average,851,Tamil Nadu House Canteen,161
"New Moti Bagh, Near Leela Palace Hotel, Chanakyapuri, New Delhi",3.4,300,New Delhi,1,India,Bakery,Indian Rupees(Rs.),No,No,No,28.5795901,"Chanakyapuri, New Delhi",Chanakyapuri,77.1863937,1,Orange,Average,18228885,The Chocolate Avenue,28
"V-10 & 16, Yashwant Place Market, Food Plaza, Chanakyapuri, New Delhi",3.7,800,New Delhi,1,India,Chinese,Indian Rupees(Rs.),Yes,Yes,No,28.5842999,"Chanakyapuri, New Delhi",Chanakyapuri,77.1916048,2,Yellow,Good,824,Chimney Sizzlers,137
"11, Kautilya Marg, Chanakyapuri, New Delhi",3.7,400,New Delhi,1,India,"Gujarati, South Indian, North Indian",Indian Rupees(Rs.),No,No,No,28.5985428,"Chanakyapuri, New Delhi",Chanakyapuri,77.1971751,1,Yellow,Good,301102,Gujarat Bhawan Restaurant,203
"Chanakyapuri, New Delhi",3.5,450,New Delhi,1,India,"Bakery, Desserts",Indian Rupees(Rs.),No,No,No,28.5974082,"Chanakyapuri, New Delhi",Chanakyapuri,77.1735895,1,Yellow,Good,18238246,Itäó»s Sinful,20
"1, Assam Bhavan, Chanakyapuri, New Delhi",3.5,600,New Delhi,1,India,"Assamese, Chinese",Indian Rupees(Rs.),No,No,No,28.6055182,"Chanakyapuri, New Delhi",Chanakyapuri,77.1876516,2,Yellow,Good,6003,Jakoi,218
"27, Kautilya Marg, Diplomatic Enclave, Chanakyapuri, New Delhi",0,350,New Delhi,1,India,North Eastern,Indian Rupees(Rs.),No,No,No,28.5986962,"Chanakyapuri, New Delhi",Chanakyapuri,77.1980469,1,White,Not rated,18469659,Arunachal Bhawan,0
"9, Bir Tikenderjith Marg, Chanakyapuri, New Delhi",0,300,New Delhi,1,India,"South Indian, North Indian, Chinese",Indian Rupees(Rs.),No,No,No,28.5830663,"Chanakyapuri, New Delhi",Chanakyapuri,77.1908861,1,White,Not rated,18288994,Hotel New Tamil Nadu,1
"5, Yashwant Place, Food Plaza, Near Chanakya Cinema, Chanakyapuri, New Delhi",0,650,New Delhi,1,India,"Chinese, North Indian",Indian Rupees(Rs.),No,No,No,28.5841379,"Chanakyapuri, New Delhi",Chanakyapuri,77.1917845,2,White,Not rated,845,Milan Food,2
"Samrat Hotel, 50-B, Kautilya Marg, Chanakyapuri, New Delhi",0,3000,New Delhi,1,India,Finger Food,Indian Rupees(Rs.),No,No,No,28.5957906,"Chanakyapuri, New Delhi",Chanakyapuri,77.1974446,4,White,Not rated,18466422,Playboy Club,3
"20/48, Malcha Marg Shopping Complex, Diplomatic Enclave, Chanakyapuri, New Delhi",2.4,1600,New Delhi,1,India,"North Indian, Mughlai",Indian Rupees(Rs.),No,Yes,No,28.6016137,"Chanakyapuri, New Delhi",Chanakyapuri,77.1871125,3,Red,Poor,815,Moti Mahal Delux,164
"Behind Jesus & Mary College, Rizal Marg, Chanakyapuri, New Delhi",2.1,500,New Delhi,1,India,"North Indian, Mughlai, Chinese",Indian Rupees(Rs.),No,No,No,28.5928569,"Chanakyapuri, New Delhi",Chanakyapuri,77.178936,2,Red,Poor,305296,The Treat,138
"27, Satnam Park, Bhagat Singh Road, Chander Nagar, New Delhi",3.3,200,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.6555014,"Chander Nagar, New Delhi",Chander Nagar,77.2820446,1,Orange,Average,6079,Break Fast Point,21
"K-14, Bhagat Singh Road, Satnam Park, Chander Nagar, New Delhi",3.1,150,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.655449,"Chander Nagar, New Delhi",Chander Nagar,77.2822063,1,Orange,Average,6117,Breakfast Corner,6
"14, Geeta Colony Road,  Sunder Park, Chander Nagar, New Delhi",3,700,New Delhi,1,India,"Pizza, Fast Food",Indian Rupees(Rs.),No,No,No,28.6519888,"Chander Nagar, New Delhi",Chander Nagar,77.2777758,2,Orange,Average,18082202,Domino's Pizza,10
"K-9 Block, Main Road, Chander Nagar, New Delhi",3.2,200,New Delhi,1,India,Bakery,Indian Rupees(Rs.),No,No,No,28.656024,"Chander Nagar, New Delhi",Chander Nagar,77.2816637,1,Orange,Average,308574,Frontier,10
"108, Main Road, Chander Nagar, New Delhi",2.9,300,New Delhi,1,India,"South Indian, Chinese, Fast Food",Indian Rupees(Rs.),No,No,No,28.6548389,"Chander Nagar, New Delhi",Chander Nagar,77.2821725,1,Orange,Average,6123,Prince Cafe,6
"3, Opposite Navjeevan Nursing Home, Chander Nagar, New Delhi",3.1,500,New Delhi,1,India,"North Indian, South Indian, Chinese",Indian Rupees(Rs.),No,No,No,28.6536873,"Chander Nagar, New Delhi",Chander Nagar,77.2779746,2,Orange,Average,312157,Spicy Eleven,15
"H 1A, New Gobind Pura, Near, Chander Nagar, New Delhi",3,400,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.6512423,"Chander Nagar, New Delhi",Chander Nagar,77.2822247,1,Orange,Average,302490,Vaishno Punjabi Dhaba,12
"Ground Floor, Plot 482, Haveli Haider Quli, Near Andhra Bank, Chandni Chowk, New Delhi",3.4,300,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.6564057,"Chandni Chowk, New Delhi",Chandni Chowk,77.224214,1,Orange,Average,304697,Adarsh Bhojnalaya,29
"5080, Ballimaran Road, Katra Nawab, Chandni Chowk, New Delhi",3,150,New Delhi,1,India,Bakery,Indian Rupees(Rs.),No,No,No,28.6545089,"Chandni Chowk, New Delhi",Chandni Chowk,77.2278068,1,Orange,Average,307713,Al Haj Bakery,9
"6283, Main Bara Hindu Rao, Near choti Masjid, MD Ismail Marg, Sadar Bazar, Chandni Chowk, New Delhi",3.1,300,New Delhi,1,India,Mughlai,Indian Rupees(Rs.),No,No,No,28.663599,"Chandni Chowk, New Delhi",Chandni Chowk,77.2094826,1,Orange,Average,18384137,Anmol Chicken,4
"1984-1985, Gali Paranthe Wali, Chandni Chowk, New Delhi",3.2,150,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.6560115,"Chandni Chowk, New Delhi",Chandni Chowk,77.2304115,1,Orange,Average,5459,Babu Ram Paranthe Wale,225
"Shop 2202, Bazar Chitli Qabar, Near Jama Masjid, Chandni Chowk, New Delhi",3.2,100,New Delhi,1,India,Mughlai,Indian Rupees(Rs.),No,No,No,28.6494534,"Chandni Chowk, New Delhi",Chandni Chowk,77.2335101,1,Orange,Average,311703,Bhaijaan Kababs,8
"251, Near Fathehpuri Masjid, Fatehpuri, Chandni Chowk, New Delhi",3,300,New Delhi,1,India,"Mithai, Fast Food",Indian Rupees(Rs.),No,No,No,28.65688889,"Chandni Chowk, New Delhi",Chandni Chowk,77.22398333,1,Orange,Average,308006,Bhikharam's,5
"382, Kucha Ghasi Ram, Fatehpuri, Chandni Chowk, New Delhi",2.8,550,New Delhi,1,India,"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",Indian Rupees(Rs.),No,No,No,28.6566711,"Chandni Chowk, New Delhi",Chandni Chowk,77.2244176,2,Orange,Average,4053,Bikanervala,42
"376, Near Kucha Ghasi Ram, Chandni Chowk, New Delhi",3.1,200,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.6568732,"Chandni Chowk, New Delhi",Chandni Chowk,77.2243841,1,Orange,Average,5468,Brijwasi Bhoj,16
"379, Near Kucha Ghasi Ram, Chandni Chowk, New Delhi",3.2,400,New Delhi,1,India,"North Indian, Fast Food, Chinese, South Indian",Indian Rupees(Rs.),No,No,No,28.656851,"Chandni Chowk, New Delhi",Chandni Chowk,77.2243823,1,Orange,Average,5453,Brijwasi Restaurant,39
"Old Delhi Railway Station, Mori Gate, Chandni Chowk, New Delhi",2.5,350,New Delhi,1,India,"North Indian, Street Food, Chinese, South Indian",Indian Rupees(Rs.),No,No,No,28.6606804,"Chandni Chowk, New Delhi",Chandni Chowk,77.2280206,1,Orange,Average,681,Comesum,49
"187, Church Mission Road, Fatehpuri, Chandni Chowk, New Delhi",3,250,New Delhi,1,India,North Indian,Indian Rupees(Rs.),No,No,No,28.6578654,"Chandni Chowk, New Delhi",Chandni Chowk,77.2231981,1,Orange,Average,308008,Inderpuri Restaurant,20
